date,perc_p,pmo,cnt
2017-11-08,0.5526918383461346,-0.07058513879305595,8
2017-11-09,0.4753009942587011,-0.1479759828804894,139
2017-11-10,0.3738499820877025,-0.24942699505148802,44
2017-11-13,0.36248925882578337,-0.26078771831340714,19
2017-11-14,0.33917909424232173,-0.28409788289686877,14
2017-11-15,0.4544694949612374,-0.1688074821779531,66
2017-11-16,0.4130844010665371,-0.2101925760726534,20
2017-11-17,0.5719784735731307,-0.051298503566059805,18
2017-11-20,0.5441082805894977,-0.07916869654969283,54
2017-11-21,0.6286058685573104,0.005328891418119874,10
2017-11-22,0.5045196981647114,-0.11875727897447907,15
2017-11-23,0.6401189117581777,0.016841934618987198,19
2017-11-24,0.5724668298574911,-0.050810147281699414,109
2017-11-25,0.6166879021614534,-0.006589074977737086,13
2017-11-26,0.603405972404165,-0.019871004735025455,15
2017-11-28,0.6691068902808646,0.04582991314167406,28
2017-11-30,0.6859267549854174,0.06264977784622694,18
2017-12-01,0.637033268365312,0.013756291226121542,16
2017-12-02,0.6207991996740391,-0.0024777774651514317,14
2017-12-04,0.7100105735697851,0.08673359643059464,29
2017-12-06,0.7872469617813653,0.16396998464217483,13
2017-12-08,0.7937446510542283,0.1704676739150378,39
2017-12-12,0.828190691411317,0.20491371427212646,16
2017-12-17,0.7935506989694624,0.1702737218302719,11
2017-12-19,0.7191625111946028,0.09588553405541234,3
2017-12-21,0.7542357058392652,0.13095872870007474,12
2017-12-24,0.8303898545897607,0.20711287745057017,6
2017-12-26,0.8560759338973151,0.23279895675812456,22
2017-12-27,0.7415487334191025,0.11827175627991204,5
2017-12-29,0.6178790912443894,-0.005397885894801058,10
2018-01-01,0.5876528952763368,-0.03562408186285371,23
2018-01-05,0.5180516026002142,-0.10522537453897629,19
2018-01-08,0.4184233301193167,-0.2048536470198738,58
2018-01-09,0.5233665565458324,-0.09991042059335808,29
2018-01-10,0.5808688170028941,-0.04240816013629645,23
2018-01-11,0.5207359181844536,-0.10254105895473686,6
2018-01-13,0.5200517796034498,-0.10322519753574066,22
2018-01-15,0.5063019021434177,-0.11697507499577275,54
2018-01-23,0.5931983610643555,-0.030078616074834974,22
2018-01-24,0.765906684243511,0.14262970710432055,22
2018-01-29,0.8558761889408348,0.23259921180164433,16
2018-02-05,0.870616843221709,0.24733986608251846,6
2018-02-08,0.8420006169082885,0.21872363976909803,25
